,medio,fecha,titulo,nivel,estado,chars,segundos,url_final,error,texto
0,El Occidental,31/12/2023,Reduce afluencia de visitantes a la Vía RecreActiva en el último domingo del 2023,trafilatura,trafilatura,1266,0.64,https://oem.com.mx/eloccidental/local/reduce-afluencia-de-visitantes-a-la-via-recreactiva-en-el-ultimo-domingo-del-2023-13161054,,"Localdomingo, 31 de diciembre de 2023
Los que asistieron suelen realizar alguna actividad física
LOCAL
Las tormentas se desarrollarían en los alrededores del Área Metropolitana de Guadalajara, principalmente hacia el sur y el este.
El legislador morenista detalló que los recursos están destinados además a carreteras, mantenimiento, infraestructura y dar certeza jurídica a inversionistas
Con esta acción que realizaron decenas de familias de empresas tequileras y personal del Gobierno del Estado se plantaron 400 pinos
Mirza Flores acusa a Morena de “grillar” y lucrar políticamente con el tema del agua
Destacó que en ese municipio su administración invirtió más de 150 millones de pesos en el periodo 2025-2026 en obras de alto impacto para sus habitantes
El delito por el que fue denunciado Eduardo N, es por acoso sexual
El señalado es también líder del Sindicato de Trabajadores al Servicio del Estado y sus Municipios en el Sistema DIF Jalisco y Sistemas DIF Municipales
El nivel de preparatoria es en donde se focaliza el mayor número de casos, el segundo lugar es el de nivel secundaria
La víctima está protegida y hasta el momento se desconoce su identidad
Inició operaciones el 12 de septiembre de 2020 y actualmente lo utilizan 183 mil pasajeros al día"
1,Lider 919,29/12/2023,Piden 24 colectivos al ayuntamiento de Zapopan continuar proyecto de remodelación de la avenida Copérnico,trafilatura,trafilatura,5100,0.49,https://lider919.com/piden-24-colectivos-al-ayuntamiento-de-zapopan-continuar-proyecto-de-remodelacion-de-la-avenida-copernico/,,"Este viernes, 24 colectivos emitieron un comunicado para dar su respaldo a la obra de remodelación de la avenida Copérnico, en Zapopan.
Entre los firmantes están La red “Sí A La Ciclovía”. Aseguran que La obra beneficiará a las personas más vulnerables de la movilidad urbana como son las adultas mayores, niños y niñas o personas con alguna discapacidad.
Sostienen que la obra mejorará las banquetas, se construirán rampas en todas las esquinas, se instalará alumbrado público para quienes caminan por la banqueta, lo cual ayudará a mejorar la percepción de seguridad de quienes caminan.
Destacan que además, se construirá una ciclovía y un parque lineal, lo cual aumentará el arbolado en la avenida, ayudará a mitigar la contaminación ambiental y a regular el calor que causa el concreto.
Subrayan que se mejorarán las paradas de transporte público con mobiliario urbano, y se intervendrán cinco cruceros y el entorno a la glorieta, lo cual ayudará a tener mejor seguridad vial.
Agregaron que también se construirán áreas de ascenso y descenso de vehículos de carga así como estacionamiento de vehículos para los negocios locales.
Recordaron que este proyecto ganó el premio nacional de “Mejores Calles para México”, convocado por el Instituto de Políticas para el Transporte y el Desarrollo (ITDP), para promover el diseño e implementación de proyectos de «calles completas» en el país: calles seguras, cómodas y accesibles para todas las personas sin importar su edad, género, condición de discapacidad ni modo de transporte, en beneficio de la comunidad que vive y usa la avenida, en especial a quienes caminan, usan la bicicleta y el transporte público.
Frente a la inconformidad de un grupo de vecinos al proyecto, plantearon tomar en cuenta los siguientes puntos:
Los argumentos que pretenden mostrar a la ciclovía como una fuente de contaminación o de caos vial son absurdos, como se ha demostrado en vialidades mucho más importantes como lo son Av. México, Niños Héroes o Federalismo. Las calles completas con banquetas seguras, ciclovías y arbolado son, al contrario de lo que dicen, una forma de ordenar el tráfico y dar más opciones de movilidad segura a todas las personas.
Los recursos legales interpuestos por otros grupos opuestos a la construcción de la infraestructura incluyente han resultado invariablemente en derrota, pues no existen argumentos legales reales ni pruebas de que la construcción de ciclovías afecte negativamente a los habitantes de la ciudad. Por ejemplo, la sentencia definitiva del amparo indirecto 1359/2019 que interpusieron contra la ciclovía de Av. Niños Héroes y Av. Guadalupe (Enlace) en la cuál un juez sustenta, con dictámenes periciales, que no asiste a los quejosos ningún interés jurídico al no encontrarse sus intereses particulares por sobre aquellos del medio ambiente, la colectividad y los efectos favorables de la infraestructura incluyente.
En el AMG apenas una tercera parte de las personas son dueñas de un automóvil privado, mientras todas somos o podemos ser peatones, personas con discapacidad, ciclistas o usuarias del transporte público.
Solo sobre el trazo de este proyecto de calle completa han perdido la vida Luis octavio Herrera Carmona el 13 de marzo de 2023 y Mirna Obdulia Zazueta Padilla el 14 de marzo de 2015 mientras se transportaban en bicicleta. Además, según datos del Municipio de Zapopan, en los últimos años han ocurrido 33 siniestros viales causando lesiones a 42 personas. Basta de poner su comodidad sobre nuestra seguridad.
Refieren que la calle es un espacio público cuyo uso y diseño debe obedecer al beneficio colectivo y no solo al de los vecinos de la misma, rechazamos tajantemente la visión excluyente, cortoplacista y egoísta de aquellas personas que se oponen a que la calle empiece a servirnos a todas y todos y no solo a quienes poseen un automóvil.
Exhortaron al presidente municipal interino, Rodrigo Escoto Leal; a Ismael Jáuregui, director de Obras Públicas e Infraestructura de Zapopan a sostener las políticas públicas, proyectos y acciones que se han realizado desde hace ya varias administraciones tanto municipales como del gobierno del estado de Jalisco, donde se prioriza la movilidad no motorizada “para tener una mejor ciudad, con menos contaminación, que evita muertes y mediante las cuales se busca garantizar que las personas tengan un acceso democrático al espacio público”.
El escrito lo firman las siguientes dos redes de colectivos:
- Red Sí A La Ciclovía
- Red Ciudad Posible
- Los colectivos firmantes son los siguientes:
- GDL en Bici
- Bicicleta Blanca
- Liga Peatonal
- Desde La Calle
- Movilidad ITESO
- Sociedad de Alumnos de Gestión Pública / ITESO
- Programa de radio / En bicicleta
- Programa de Movilidad Urbana / COINCIDE ITESO
- Colegio de profesionistas de la movilidad urbana del estado de Jalisco, A.C. / COMUJ
- Paseo Camaleones
- Rueda Verde
- Barbas Bike
- Bici On
- Rebeldes Bike
- Paz Vial
- Bici 10
- Webones Bike
- Bike Revolución
- Naranja’s Bike
- Osos Polares Bike
- Fénix Bike
- Clásicos Bikers
- Ponchados
- Metropolitano en Bici
Elizabeth Rivera Avelar"
2,Canal 44,23/12/2023,Vecinos de Paseos del Sol inconformes por obra vial | Imagen GDL con Fabiola Anaya,trafilatura,trafilatura,221,1.22,https://www.youtube.com/watch?v=rTvICkn_ez8,,"Acerca de
Prensa
Derechos de autor
Comunicarte con nosotros
Creadores
Anunciar
Desarrolladores
Condiciones
Privacidad
Políticas y seguridad
Cómo funciona YouTube
Prueba funciones nuevas
NFL Sunday Ticket
© 2026 Google LLC"
3,NTR Guadalajara,23/12/2023,Habrá Vía RecreActiva el 24 y 31 de diciembre,trafilatura,trafilatura,1166,0.34,https://www.ntrguadalajara.com/post.php?id_nota=207688,,"Como todos los domingos de 2023, este 24 y 31 de diciembre también habrá Vía RecreActiva en Guadalajara.
El Consejo Municipal del Deporte de Guadalajara informó a través de un comunicado que durante la “temporada vacacional, la Vía Recreactiva se desarrollará de manera habitual el 24 y 31 de diciembre, en un horario de 8 a 14 horas”.
Además, recordó que este paseo tiene la distinción de Vía de Oro de la Red de Ciclovías Recreativas de las Américas, por sus estándares de calidad y buenas prácticas. Este paseo cumplió 19 años de operación y suma 31 kilómetros de longitud conectándose en 2022 con la ruta de Zapopan.
Aparte del paseo ciclista, en la Vía RecreActiva hay 33 actividades diferentes como culturales, musicales y deportivas. “Tenemos inclusive clases de ajedrez, voleibol, básquetbol en diferentes puntos y tenemos también los paseos guiados”, explicó Albino Galván Martínez, directo general de Comude Guadalajara.
A inicios de diciembre, la Vía RecreActiva celebró mil jornadas.
A los asistentes se les recomienda acudir con prendas abrigadoras debido a las bajas temperaturas, pero también vestir ropa cómoda o deportiva y mantenerse hidratados.
EH"
4,Milenio,21/12/2023,"Suspenden ciclovía en Copérnico, Zapopan por desaprobación de los vecinos",trafilatura,trafilatura,2441,0.43,https://www.milenio.com/politica/comunidad/zapopan-suspenden-ciclovia-copernico-desaprobacion-vecinos,,"Está suspendida hasta nuevo aviso la construcción de una ciclovía y un parque lineal en avenida Copérnico, en la colonia Paseos del Sol en Zapopan, informó el ayuntamiento, esto luego de que desde el 11 de diciembre, habitantes de la colonia han manifestado su rechazo al proyecto pues argumentan que causará más tráfico vehicular en la zona.
Sin embargo, usuarios de transporte público, ciclistas y peatones ven en la obra aspectos favorables.
""Bueno pues a mí me parece un proyecto lo de la ciclovía muy bueno porque el tiempo que he estado aquí he mirado que muchas personas sí se transportan en bicicleta"", dijo Jesica Yarleth, usuaria de transporte público.
""Para los que andan en bicicleta y la gente que lo necesita está muy bien, pero yo he notado que los comerciantes son los que más padecen"", compartió Ana María.
Christian es ciclista y vive sobre avenida Copérnico. Comentó que con la ciclovía sus traslados a la escuela serán más ágiles y seguros.
""Para mí es algo más favorable ya que yo estudio aquí en el CBTIS 38 y para mi venirme aquí en ciclovía y no tenerme que estar pasando por aquí la banqueta es un poco más favorable para nosotros"", comentó Christian Ronaldo, ciclista estudiante, a favor de la ciclovía.
¿Hay afluencia de ciclistas en la zona?
Nuestra cámara captó que sí hay afluencia de ciclistas en avenida Copérnico.
La obra también contempla la construcción de un parque lineal en la parte central de la ciclovía, donde ahora está el camellón, sobre esto, los ciudadanos comentaron que es innecesario y temen se corten los árboles.
Por otro lado, comerciantes de la zona como Antonio, ven pros y contras en el proyecto.
""Sí beneficia a los ciclistas porque sí está peligroso, las glorietas son peligrosas, pero en segundo término sí afecta a los vehículos porque ya recortaron medio carril nomas en el andador y aquí van a recortar la ciclovía"", dijo Antonio Balderrama, comerciante.
El hombre vende tacos al vapor justo en la esquina de Copérnico y Felipe Zetter, lamentó que el ayuntamiento de Zapopan no socializó la obra pues hasta el momento desconoce sí afectará sus ventas.
""Lo primordial hubiera sido que hubieran venido a exponer como iba a quedar la obra, y no nada más así sin decirnos nada"", mencionó Balderrama.
Antonio aseguró que desde la semana pasada no acude personal para laborar en la obra. En el lugar hay escombros, trafitambos y malla, para delimitar el área que ha sido intervenida.
JMH"
5,Telediario,21/12/2023,"Suspenden construcción de ciclovía en avenida Copérnico, Zapopan, por desaprobación de los vecinos",trafilatura,trafilatura,3166,0.41,https://www.telediario.mx/comunidad/construccion-ciclovia-avenida-copernico-zapopan-suspendida,,"Suspenden construcciÃ³n de ciclovÃa en avenida CopÃ©rnico, Zapopan, por desaprobaciÃ³n de los vecinos
Algunos vecinos afirman estar de acuerdo con la construcciÃ³n de la ciclovÃa.
La construcciÃ³n de una ciclovÃa y un parque lÃneal sobre la avenida NicolÃ¡s CopÃ©rnico, en la colonia Paseos del Sol, del municipio de Zapopan, fue suspendida de acuerdo al ayuntamiento, luego de que el 11 de diciembre, los colonos se manifestaron en contra de este proyecto porque aseguraron que causarÃ¡ mÃ¡s trÃ¡fico vehicular en la zona.
No obstante, usuarios del transporte pÃºblico, ciclistas y peatones estÃ¡n a favor de la construcciÃ³n de estas obras sobre la avenida, como Jesica Yarleth, quien confirmÃ³ que ha visto a muchas personas transportÃ¡ndose en bicicleta por la zona.
âBueno, pues a mÃ me parece un proyecto lo de la ciclovÃa muy bueno porque el tiempo que he estado aquÃ he mirado que muchas personas sÃ se transportan en bicicletaâ, dijo.
Por su parte, Christian Rolando, un peatÃ³n de la zona, vive sobre la avenida y comentÃ³ que con la construcciÃ³n de la ciclovÃa sus traslados a la escuela serÃan mÃ¡s Ã¡giles y seguros.
âPara mÃ es algo mÃ¡s favorable, ya que yo estudio aquÃ en el CBTIS 38, y para mÃ venirme aquÃ en ciclovÃa y no tenerme que estar pasando por aquÃ la banqueta es un poco mÃ¡s favorable para nosotros. Tal vez genere un poco mÃ¡s de trÃ¡fico pero pues quÃ© podemos hacerâ, explicÃ³ Christian.
Cabe seÃ±alar que la obra tambiÃ©n contempla la construcciÃ³n de un parque lineal en la parte central de la ciclovÃa, donde ahora estÃ¡ el camellÃ³n, sobre esto, los ciudadanos comentaron que es innecesario y temen que se corten los Ã¡rboles.
Por otro lado, comerciantes de la zona como Antonio Valderrama, ven beneficios y perjuicios sobre la construcciÃ³n de esta obra.
âSÃ beneficia a los ciclistas porque sÃ estÃ¡ peligroso, las glorietas son peligrosas, pero en segundo tÃ©rmino sÃ afecta a los vehÃculos porque ya recortaron medio carril nomÃ¡s en el andador y aquÃ van a recortar la ciclovÃaâ, dijo Antonio.
Antonio vende tacos al vapor justo en la esquina de NicolÃ¡s CopÃ©rnico y Felipe Zetter, y lamentÃ³ que el ayuntamiento de Zapopan no socializÃ³ la obra, ya que hasta ahora no sabe si la construcciÃ³n afectarÃ¡ sus ventas.
âLo primordial hubiera sido que hubieran venido a exponer cÃ³mo iba a quedar la obra, no nomÃ¡s asÃ sin decirnos nadaâ, comentÃ³.
Pero Antonio confirmÃ³ que desde la semana pasada no va personal para trabajar en la obra. En el lugar hay escombros, trafitambos y malla para delimitar el Ã¡rea que ha sido intervenida.
- Captan robo de auto a plena luz del dÃa en colonia de Tlaquepaque | Video
- Tiroteo en una universidad deja varios muertos y decenas de heridos en Praga
- Madre de Guadalajara busca a sus 5 hijos desaparecidos: âestoy buscando hasta debajo de las piedrasâ
- Mujer se NIEGA a ceder su asiento de aviÃ³n a un niÃ±o que querÃa sentarse con sus padres | VIDEO
AA
Queda prohibida la reproducciÃ³n total o parcial del contenido de esta pÃ¡gina, mismo que es propiedad de TELEDIARIO; su reproducciÃ³n no autorizada constituye una infracciÃ³n y un delito de conformidad con las leyes aplicables."
6,NTR Guadalajara,15/12/2023,Protestan contra ciclovía y obras en Paseos del Sol,trafilatura,trafilatura,1661,0.23,https://www.meganoticias.mx/guadalajara/noticia/protestan-contra-ciclovia-y-obras-en-paseos-del-sol/483837,,"Movilidad
                                                                    
                                                Por:
                                                                    								Héctor Escamilla
                    							 
                    							
Guadalajara
Fecha: 15-12-2023
                                        Guadalajara
Fecha: 15-12-2023
Vecinos de la colonia Paseos del Sol en Zapopan se manifestaron inconformes por las obras en la avenida Enrique Ladrón de Guevara, de Felipe Ruvalcaba al templo del Señor de la Salud, para la construcción de un parque lineal en la avenida y una ciclovía. Acusan que el proyecto reducirá la avenida a dos carriles y eso provocará que se ahorque la circulación de la colonia.
Durante la reunión de vecinos se presentó el director de Obras Públicas, Ismael Jáuregui, quien afirmó que el proyecto no se cancela, pero podrían escucharse propuestas para realizar adecuaciones.
Entre los vecinos hay quienes rechazan rotundamente el proyecto y advierten que no permitirán la construcción y otros que piden no colocar la ciclovía, o eliminar carriles. La ciclovía, mencionan, pudiera ser reubicada en el canal de Santa Catalina o en el mismo camellón central.
Los manifestantes, en su gran mayoría usuarios del automóvil, acusan que se forma un congestionamiento con la avenida tal y como está, pero angostarla provocará muchos más problemas.
Los inconformes con el proyecto adelantaron que recolectarán firmas y recurrirán a medios jurídicos para oponerse a la obra. El proyecto de adecuación de Copérnico eventualmente se pretende llegue desde Mariano Otero hasta la avenida Guadalupe."
7,Telediario,12/12/2023,Cuándo es la rodada navideña organizada por MiBici Pública Guadalajara,trafilatura,trafilatura,2378,0.19,https://www.telediario.mx/comunidad/mibici-publica-en-guadalajara-tendra-una-rodada-navidena,,"CuÃ¡ndo es la rodada navideÃ±a organizada por MiBici PÃºblica Guadalajara
La rodada serÃ¡ vespertina y se espera la participaciÃ³n de usuarios del servicio y ciclistas.
MiBici PÃºblica ha informado sobre una rodada navideÃ±a que tendrÃ¡n para que los usuarios de este servicio puedan ir y ejercitarse, asÃ como divertirse y pasar un buen rato.
Con el afÃ¡n de generar activaciÃ³n ciudadana respecto a ejercitarse y transportarse en bicicleta es que estas rodadas se hacen, ademÃ¡s que es mucho mÃ¡s seguro para los ciclistas rodar con un grupo.
Â¿CuÃ¡ndo es la rodada?
MiBici PÃºblica informÃ³ sobre su rodada navideÃ±a, que cabe destacar que serÃ¡ vespertina, porque generalmente las rodadas son por las noches o maÃ±anas, sin embargo ahora iniciarÃ¡ en punto de las 16:30 horas.
Esta rodada constarÃ¡ de 15 kilÃ³metros y no solo pueden participar los usuarios de MiBici, pues estÃ¡n invitados todos los ciclistas que se quieran unir y hacer un poco de ejercicio andando por las calles de la ciudad.
La rodada iniciarÃ¡ en ThomÃ¡s V. GÃ³mez esquina con Avenida Hidalgo y se realizarÃ¡ el sÃ¡bado 16 de diciembre, en donde se invita a los usuarios de MiBici y a los ciclistas que si pueden, llevar una vestimenta navideÃ±a o vestir su bicicleta con algo alusivo a la navidad, que finalmente de eso se trata esta rodada.
Â¿Por dÃ³nde pasarÃ¡ la ruta?
La ruta que comprenderÃ¡ de 15 kilÃ³metros por las calles de Guadalajara pasarÃ¡ por Av. Hidalgo, Federalismo y Av. Vallarta en la que si los ciclistas interesados no se pueden unir desde el principio, se podrÃ¡n incorporar por alguno de estos puntos donde pasarÃ¡n las bicicletas.
De acuerdo a los encargados, se pasarÃ¡ por algunos puntos de MiBici en los que se puede dejar la bicicleta y tomar una nueva, pues cabe recordar que las bicicletas de MiBici se pueden usar un mÃ¡ximo de 40 minutos para poder dejar en una estaciÃ³n y tomar otra.
Por otra parte, tambiÃ©n se informÃ³ que MiBici prestarÃ¡ 20 bicicletas Ãºnicamente a usuarios, mismas que no serÃ¡ necesario que se carguen en puntos, pues podrÃ¡n utilizarse durante todo el trayecto, aunque se pasen de los 40 minutos reglamentarios.
MQ
Queda prohibida la reproducciÃ³n total o parcial del contenido de esta pÃ¡gina, mismo que es propiedad de TELEDIARIO; su reproducciÃ³n no autorizada constituye una infracciÃ³n y un delito de conformidad con las leyes aplicables."
8,Milenio,11/12/2023,Vecinos de Zapopan se oponen a construcción de ciclovía en avenida Copérnico,trafilatura,trafilatura,2493,0.31,https://www.milenio.com/politica/comunidad/ciclovia-zapopan-vecinos-paseos-sol-oponen-obras,,"Vecinos de las diferentes secciones de la colonia Paseos del Sol en el municipio de Zapopan, manifestaron su inconformidad por el inicio de obras de construcción de una ciclovía que se pretende hacer sobre avenida Copérnico, los colonos denunciaron que el gobierno municipal no socializó los trabajos, además temen que los árboles que tienen más de 40 años sean derribados para esta obra.
“Se me hace una tontería que quieran poner un área recreativa en medio en el camellón, cuando esos árboles tienen más de 40 años, yo creo que deberíamos hablar a ambiente, para que valoren si realmente merecen quitarlos y poner una recreativa, cuando las familias ni van a los parques cuando es una colonia llena de parques”, detalló Isabel Ztter, representante vecinal.
Además del impacto ambiental, los habitantes de Paseos del Sol, advirtieron que en horas pico, la avenida Copérnico se convierte en un estacionamiento de autos, lo que además generará más contaminación, por lo que pidieron al Gobierno Municipal frenar estos trabajos.
“No queremos que se convierta esta avenida en un caos vehicular, como se convirtió la recién inaugurada obra de la calle Felipe Ruvalcaba, solo basta con que a gente vea que, en Felipe Ruvalcaba, para cruzar el semáforo en su reducción tengamos filas hasta de tres cuadras”, puntualizó Francisco Peredo, representante vecinal.
De acuerdo con la información que ha compartido el Gobierno Municipal, el ayuntamiento gastará 23 millones de pesos y en una primera etapa será de 700 metros sobre avenida Copérnico entre la avenida Felipe Ruvalcaba, hasta la calle Óscar Quintero, a la altura de la parroquia de El Señor de la Salud.
¿Cómo realizar una denuncia ambiental?
- 1.- En la página: https://bit.ly/2X4r7kM
- 2.- Llamando a la Lada sin costo: 01800 PROFEPA (01 800 776 33 72)
- 3.- También puedes escribir a denuncias@profepa.gob.mx proporcionando los siguientes datos:
B) Señalar la problemática a denunciar.
C) Señalar con la mayor precisión posible los datos que permitan localizar al presunto infractor (es) o la fuente contaminante, incluso fotografías o documentos.
D) Puedes solicitar que guardemos el secreto de tu identidad.
E) También puedes solicitar que te notifiquemos a tu cuenta de correo electrónico.
- 4.- La denuncia también la puedes realizar directamente en los módulos de atención ciudadana ubicados en cada estado o en el Distrito Federal. Ingresa a https://bit.ly/2X4r7kM para conocer los teléfonos de tu delegación PROFEPA más cercana.
MC"
9,Lider 919,09/12/2023,Zapopan gastará 11 mil 545 MDP en 2024,trafilatura,trafilatura,1769,0.23,https://lider919.com/zapopan-gastara-de-11-mil-545-millones-de-pesos-en-2024/,,"Con los votos en contra de Morena y Futuro, el Ayuntamiento de Zapopan autorizó su presupuesto de egresos para 2024; por un monto de 11 mil 545 millones de pesos.
El regidor morenista, Alejandro Puerto Covarrubias, sostuvo que la proyección de gasto no refleja las necesidades del municipio y puso como ejemplo que se incremente el gasto en consultorías y no consideran apoyos al campo.
“No podemos respaldar un presupuesto que carece de la transparencia necesaria, no atiende las carencias reales y no prioriza el bienestar y que en cambio castiga más a quienes menos tienen. Siendo honestos después de haber perdido 300 millones de pesos en una operación financiera tan opaca y sospechosa como es la trama Accendo esta administración carece de autoridad moral en la materia”, argumentó.
La regidora de Futuro, Ana Luisa Ramírez cuestionó la falta de perspectiva de género en el presupuesto y el aumento en el gasto en combustibles; por su parte al morenista Karla Díaz López advirtió una reducción a la dirección de aseo público. El regidor de Morena, Alberto Uribe, recriminó en el incremento en programas sociales como mochilas y uniformes, dijo que hay riesgo les den uso electoral.
En la contraparte, el encargado de despacho de la presidencia municipal, Rodrigo Manuel Escoto Leal, defendió el presupuesto aprobado que calificó como histórico y centrado en las necesidades del municipio.
A obra pública se etiquetaron mil 193 millones de pesos con proyectos con la Cruz Verde Sur, el Centro Cultural Miramar, el Museo en la presidencia municipal, el Parque Arqueológico El Ixtépete; entre otros. Además, hay fondos para continuar con las obras en la ciclovía de Avenida Copérnico, repavimentación de avenida Santa Margarita y concreto hidráulico en Pablo Neruda."
